trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6989, 'e': 0.9753099120283327}",20,0,-195.30836706171064,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.6978, 'e': 0.951304166891766}",20,0,-99.56499337561277,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.6967, 'e': 0.9279621944970661}",25,0,-183.29014194658345,"{0: 15, 1: 0, 2: 4, 3: 4, 4: 2}",0
4,False,"{'a': 0.6956, 'e': 0.9052640848108714}",20,0,-57.1115416711216,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.6945, 'e': 0.8831905654827932}",25,0,-139.85782792036176,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.6934, 'e': 0.8617229802641889}",20,0,-155.0158980435971,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.6923, 'e': 0.8408432681930964}",20,0,-44.4812337987444,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.6912, 'e': 0.8205339435169495}",25,0,-150.72095696667503,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.6901, 'e': 0.8007780763257959}",20,0,-102.99294772416008,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.6890000000000001, 'e': 0.7815592738697767}",25,0,-135.50916431108342,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.6879000000000001, 'e': 0.7628616625356415}",20,8,-32.69336459151912,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.6868000000000001, 'e': 0.7446698704580333}",25,0,-160.4655920403591,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
13,False,"{'a': 0.6857000000000001, 'e': 0.7269690107422125}",20,6,-30.358653027221454,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.6846000000000001, 'e': 0.7097446652757717}",20,0,-58.36222643249586,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
15,False,"{'a': 0.6835000000000001, 'e': 0.6929828691077584}",25,0,-215.7460119396036,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.6824000000000001, 'e': 0.67667009537444}",35,0,-90.24605656587589,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.6813000000000001, 'e': 0.6607932407517336}",20,0,-73.22930276916983,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.6802000000000001, 'e': 0.6453396114150898}",20,0,-42.233013464773144,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.6791000000000001, 'e': 0.6302969094883372}",20,10,-12.738074612403748,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.6780000000000002, 'e': 0.6156532199637064}",20,0,-95.32221544779392,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.6769000000000002, 'e': 0.601396998075916}",30,0,-51.56939689373453,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
22,False,"{'a': 0.6758000000000002, 'e': 0.587517057113854}",25,0,-156.2378395478274,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
