trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.857163651463093,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.38452883116986,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.56498815743427,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.03344371248653,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.85147424358973,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,11,-58.6983718717307,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.10456919460796,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.438845176384,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,6,-35.27591845064349,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.46029139599185,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.20789099975664,"{0: 12, 1: 6, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.20187735423775,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.60751520771456,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.86270795885204,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.6131343604523,"{0: 20, 1: 3, 2: 8, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,5,-68.07072561017857,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.87307600177576,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.67286816769915,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.30021601578012,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.98130766767002,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.10879293944484,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-163.1154856498897,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-299.27882706900414,"{0: 16, 1: 3, 2: 6, 3: 8, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.86182902680349,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.6923812102842,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-267.02144313786613,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.19503493041256,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.6880490419679,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.99861775094234,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,11,-81.31872028123426,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
